ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
1150537,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",7.7,2023-10-17,en,"[16, 28, 14, 12]",True
260514,Cars 3,6.9,2017-06-15,en,"[16, 12, 35, 10751]",True
1146348,"Scooby-Doo! and Krypto, Too!",7.5,2023-09-26,en,"[16, 10751, 9648, 14, 35]",True
772,Home Alone 2: Lost in New York,6.7,1992-11-19,en,"[35, 10751, 12]",True
423108,The Conjuring: The Devil Made Me Do It,7.5,2021-05-25,en,"[27, 9648, 53]",True
832502,The Monkey King,6.7,2023-08-11,en,"[16, 14, 12, 10751, 35]",True
537915,After,7.1,2019-04-11,en,"[10749, 18]",True
122,The Lord of the Rings: The Return of the King,8.5,2003-12-01,en,"[12, 14, 28]",True
884605,No Hard Feelings,7,2023-06-15,en,"[35, 10749]",True
1166714,Mickey and Friends: Trick or Treats,7.1,2023-10-01,en,"[16, 10751]",True
1209770,Bedspacer,0,2024-01-05,tl,"[53, 18]",True
1020394,The Squad: Home Run,6.4,2023-08-25,fr,"[28, 53, 80, 18]",True
810693,Jujutsu Kaisen 0,8.2,2021-12-24,ja,"[16, 28, 14]",True
1172029,Sobreviviendo mis XV,7.5,2023-09-21,es,[35],True
656156,A Man of Reason,6.6,2023-08-15,ko,"[28, 53, 18]",True
373571,Godzilla: King of the Monsters,6.7,2019-05-29,en,"[878, 28]",True
744275,After We Fell,7.1,2021-09-01,en,"[10749, 18]",True
669525,Night on Earth: Shot in the Dark,5.9,2020-01-29,en,[99],True
1062482,Condor's Nest,5.7,2023-01-27,en,"[28, 10752]",True
666277,Past Lives,7.9,2023-06-02,en,"[18, 10749]",True
915935,Anatomy of a Fall,7.7,2023-08-13,fr,"[18, 9648]",True
616037,Thor: Love and Thunder,6.5,2022-07-06,en,"[14, 28, 35]",True
545742,One Piece: Episode of Skypiea,7.3,2018-08-25,ja,"[16, 28, 12, 35]",True
457332,Hidden Strike,7,2023-07-06,en,"[28, 12, 53, 35]",True
1211419,A Vampire in the Family,5.2,2023-12-23,pt,[35],True
849236,Ostap Bender. The Empire's Gold,6,2021-07-15,ru,"[35, 12, 28]",True
1158385,Spirit of Fear,6.8,2023-07-31,en,[27],True
343611,Jack Reacher: Never Go Back,6,2016-10-19,en,"[28, 53]",True
124905,Godzilla,6.3,2014-05-14,en,"[28, 18, 878]",True
872976,Digimon Adventure 02: The Beginning,6.8,2023-04-01,ja,"[12, 16, 14]",True
792307,Poor Things,7.8,2023-11-21,en,"[878, 10749, 35]",True
129,Spirited Away,8.5,2001-07-20,ja,"[16, 10751, 14]",True
995906,Galaxy Games,5.7,2022-07-04,en,[14],True
406759,Moonfall,6.4,2022-02-03,en,"[878, 12, 28]",True
338953,Fantastic Beasts: The Secrets of Dumbledore,6.7,2022-04-06,en,"[14, 12, 10751]",True
549945,The Club of Ugly Children,6.7,2019-10-09,nl,"[28, 12, 10751, 878]",True
1011985,Kung Fu Panda 4,0,2024-03-06,en,"[28, 12, 16, 35, 10751]",True
921636,The Out-Laws,6.1,2023-07-07,en,"[10749, 28, 35]",True
285,Pirates of the Caribbean: At World's End,7.2,2007-05-19,en,"[12, 14, 28]",True
725064,The Feast of Amrita,6,2023-05-26,ja,"[16, 9648, 14, 27]",True
315011,Shin Godzilla,7.1,2016-07-29,ja,"[28, 878, 27]",True
131634,The Hunger Games: Mockingjay - Part 2,6.9,2015-11-18,en,"[28, 12, 878]",True
177572,Big Hero 6,7.7,2014-10-24,en,"[12, 10751, 16, 28, 35]",True
791373,Zack Snyder's Justice League,8.2,2021-03-18,en,"[28, 12, 14]",True
425,Ice Age,7.4,2002-03-10,en,"[16, 35, 10751, 12]",True
613504,After We Collided,7.2,2020-09-02,en,"[10749, 18]",True
1179316,The Bremen Town Musicians,0,2024-01-01,ru,"[12, 10751]",True
1058063,Siksa Neraka,7,2023-12-14,id,"[27, 53]",True
1127087,Sijjin,6.3,2023-11-09,id,"[27, 53]",True
274855,Geostorm,6.1,2017-10-12,en,"[28, 878, 53]",True
610150,Dragon Ball Super: Super Hero,7.9,2022-06-11,ja,"[16, 878, 28]",True
48650,Room in Rome,6.4,2010-05-07,es,"[18, 10749]",True
829560,The Next 365 Days,6.5,2022-08-19,pl,"[10749, 18]",True
1135229,I Am Rage,6.8,2023-09-14,en,"[28, 53, 27]",True
140300,Kung Fu Panda 3,6.9,2016-01-23,en,"[28, 12, 16, 35, 10751]",True
337167,Fifty Shades Freed,6.7,2018-01-17,en,"[18, 10749]",True
1000475,River Wild,6.6,2023-08-01,en,"[9648, 53, 12]",True
1160164,TAYLOR SWIFT | THE ERAS TOUR,8.4,2023-10-13,en,[10402],True
1865,Pirates of the Caribbean: On Stranger Tides,6.5,2011-05-15,en,"[12, 28, 14]",True
960481,Princess Khutulun,7.1,2021-12-03,mn,"[36, 28, 18]",True
958182,Heroic,7.5,2023-09-21,es,"[18, 53]",True
